episode,steps,total_reward,epsilon,goal_reached,collision
223,194,-440.1481,0.1074,False,True
224,708,753.9477,0.10633,True,False
225,369,-365.8374,0.10526,False,True
226,772,750.4251,0.10421,True,False
227,201,-444.4409,0.10317,False,True
228,516,-350.9016,0.10214,False,True
229,936,736.9064,0.10112,True,False
230,222,-444.3279,0.10011,False,True
231,1000,216.4272,0.0991,False,False
232,183,-438.0148,0.09811,False,True
233,215,-454.7838,0.09713,False,True
234,216,-446.9448,0.09616,False,True
235,203,-450.4723,0.0952,False,True
236,952,735.6809,0.09425,True,False
237,408,-364.4324,0.09331,False,True
238,852,743.1313,0.09237,True,False
239,483,-376.033,0.09145,False,True
240,399,-359.0531,0.09053,False,True
241,1000,218.6596,0.08963,False,False
242,504,-392.4684,0.08873,False,True
243,1000,229.0817,0.08785,False,False
244,364,-370.3766,0.08697,False,True
245,1000,231.8534,0.0861,False,False
246,845,744.5998,0.08524,True,False
247,573,-505.4125,0.08438,False,True
248,854,744.8884,0.08354,True,False
249,848,744.3616,0.0827,True,False
250,808,746.4158,0.08188,True,False
251,521,-383.9829,0.08106,False,True
252,459,-343.6978,0.08025,False,True
253,244,-459.8014,0.07945,False,True
254,396,-342.6129,0.07865,False,True
255,801,748.2176,0.07786,True,False
256,710,753.526,0.07709,True,False
257,672,757.4674,0.07631,True,False
258,387,-378.215,0.07555,False,True
259,1000,172.0636,0.0748,False,False
260,1000,150.2199,0.07405,False,False
261,757,752.0274,0.07331,True,False
262,696,-393.2826,0.07257,False,True
263,1000,207.4098,0.07185,False,False
264,452,-385.8548,0.07113,False,True
265,991,-384.6908,0.07042,False,True
266,1000,198.0531,0.06972,False,False
267,1000,181.8567,0.06902,False,False
268,867,735.5997,0.06833,True,False
269,884,739.7466,0.06764,True,False
270,228,-453.1906,0.06697,False,True
271,608,-488.5999,0.0663,False,True
272,514,-394.1608,0.06564,False,True
273,766,-422.2589,0.06498,False,True
274,708,753.0572,0.06433,True,False
275,358,-376.6502,0.06369,False,True
276,1000,217.0812,0.06305,False,False
277,1000,207.2126,0.06242,False,False
278,1000,217.8861,0.06179,False,False
279,414,-378.6227,0.06118,False,True
280,461,-372.8228,0.06056,False,True
281,906,737.9678,0.05996,True,False
282,364,-367.4374,0.05936,False,True
283,819,743.6151,0.05877,True,False
284,910,732.6883,0.05818,True,False
285,698,753.1267,0.0576,True,False
286,696,-356.7868,0.05702,False,True
287,695,755.3052,0.05645,True,False
288,685,754.4788,0.05589,True,False
289,780,745.4053,0.05533,True,False
290,248,-451.1822,0.05477,False,True
291,294,-450.5272,0.05423,False,True
292,400,-381.5492,0.05368,False,True
293,734,751.7625,0.05315,True,False
294,610,-361.673,0.05262,False,True
295,830,727.6297,0.05209,True,False
296,396,-412.5376,0.05157,False,True
297,560,764.598,0.05105,True,False
298,412,-334.0384,0.05054,False,True
299,223,-443.7087,0.05004,False,True
300,450,-379.7082,0.05,False,True
